Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,236.240005,237.899994,232.559998,232.940002,222.232727,3091000
2018-12-26,232.699997,243.369995,231.809998,243.350006,232.164215,4159300
2018-12-27,239.100006,245.970001,235.240005,245.970001,234.663773,4295800
2018-12-28,246.710007,249.789993,244.809998,246.240005,234.921371,3312700
2018-12-31,248.059998,250.279999,246.940002,249.119995,237.668976,3123200
2019-01-02,245.000000,246.350006,241.470001,243.490005,232.297791,4063600
2019-01-03,243.479996,243.479996,236.130005,236.850006,225.962997,4623200
2019-01-04,239.800003,243.460007,238.800003,239.619995,228.605652,5367600
2019-01-07,240.399994,241.979996,238.229996,240.080002,229.044525,4133000
2019-01-08,242.330002,244.789993,239.710007,243.289993,232.106979,3618600
2019-01-09,244.759995,246.630005,242.059998,243.639999,232.440872,3425400
2019-01-10,242.080002,245.139999,241.410004,244.869995,233.614334,3374100
2019-01-11,243.449997,247.759995,243.270004,247.669998,236.285599,3967100
2019-01-14,246.589996,249.919998,246.110001,248.059998,236.657700,4955500
2019-01-15,250.000000,256.920013,247.000000,256.869995,245.062744,5325600
2019-01-16,258.730011,262.190002,258.170013,261.459991,249.441788,6069400
2019-01-17,260.989990,261.739990,257.890015,259.769989,247.829453,3583600
2019-01-18,262.600006,266.260010,260.420013,265.500000,253.296112,4844800
2019-01-22,264.059998,267.500000,263.739990,265.690002,253.477325,4052700
2019-01-23,267.750000,269.470001,263.670013,267.019989,254.746140,2971100
2019-01-24,266.799988,268.160004,264.260010,266.130005,253.897171,2927300
2019-01-25,268.799988,270.410004,265.700012,268.049988,255.728836,2809100
2019-01-28,266.899994,266.929993,264.609985,266.769989,254.507660,2837300
2019-01-29,266.000000,268.450012,265.440002,267.339996,255.051468,2173000
2019-01-30,269.690002,272.440002,267.190002,270.369995,257.942200,3659000
2019-01-31,270.480011,271.739990,268.989990,270.200012,257.780029,4055100
2019-02-01,268.470001,269.390015,266.029999,268.720001,256.368073,3946800
2019-02-04,268.309998,268.690002,264.269989,268.209991,255.881470,3398900
2019-02-05,270.119995,272.089996,265.839996,266.309998,254.068832,3597000
2019-02-06,265.140015,269.929993,264.980011,269.500000,257.112244,2570000
